Team ID , Team  , Region , Country , Track , Kind , Size , Status , Year
4845,SubCat-China,Asia,China,High School,Commercial,5,Accepted,2023
4909,SubCat-GD,Asia,China,High School,Commercial,4,Accepted,2023
4929,SubCat-HongKong,Asia,China,High School,Commercial,4,Accepted,2023
4904,SubCat-Peking,Asia,China,High School,Commercial,4,Accepted,2023
4908,SubCat-Shanghai,Asia,China,High School,Commercial,4,Accepted,2023
4785,SUSTech-CHINA,Asia,China,Therapeutics,Collegiate,20,Accepted,2023
4747,SUSTech-MED,Asia,China,Therapeutics,Collegiate,22,Accepted,2023
4809,SUSTech-OCE,Asia,China,Environment,Collegiate,23,Accepted,2023
4739,SUSTech-Shenzhen,Asia,China,Therapeutics,Collegiate,17,Accepted,2023
4864,SVCE-CHENNAI,Asia,India,Agriculture,Collegiate,18,Accepted,2023
4915,SWUer-China,Asia,China,Agriculture,Collegiate,17,Accepted,2023
4617,SYPHU-China,Asia,China,Therapeutics,Collegiate,25,Accepted,2023
4839,SYSU-SLS-CHINA,Asia,China,Therapeutics,Collegiate,19,Accepted,2023
4826,SYSU-Software,Asia,China,Software & AI,Collegiate,15,Accepted,2023
4844,SZ-SHD,Asia,China,High School,Commercial,7,Accepted,2023
4653,SZU-China,Asia,China,Agriculture,Collegiate,17,Accepted,2023
4673,Taipei-KCISLK-V1,Asia,Taiwan,High School,High_school,9,Accepted,2023
4648,TAU-Israel,Asia,Israel,Foundational Advance,Collegiate,15,Accepted,2023
4607,Tec-Chihuahua,Latin America,Mexico,Food & Nutrition,Collegiate,28,Accepted,2023
4633,Technion-Israel,Asia,Israel,Therapeutics,Collegiate,15,Accepted,2023
4763,TecMonterreyGDL,Latin America,Mexico,Environment,Collegiate,30,Accepted,2023
4629,Thailand-RIS,Asia,Thailand,High School,High_school,21,Accepted,2023
4735,The-Kings-School-AU,Asia,Australia,High School,High_school,12,Accepted,2023
4998,thessaloniki,Europe,Greece,Conservation,Collegiate,19,Accepted,2023
4624,Thessaly,Europe,Greece,Bioremediation,Collegiate,21,Accepted,2023
4986,THINKER-CHINA,Asia,China,High School,Commercial,10,Accepted,2023
4987,Thinker-Guangdong,Asia,China,High School,Commercial,3,Accepted,2023
5015,Thinker-SC,Asia,China,High School,Commercial,20,Accepted,2023
4988,Thinker-Shanghai,Asia,China,High School,Commercial,22,Accepted,2023
4979,Thinker-Shenzhen,Asia,China,High School,Commercial,26,Accepted,2023
4793,THIS-CHINA,Asia,China,High School,High_school,16,Accepted,2023
4989,Thrace,Europe,Greece,Therapeutics,Collegiate,14,Accepted,2023
4703,Tianjin,Asia,China,Conservation,Collegiate,1,Accepted,2023
4627,TJUSLS-China,Asia,China,Bioremediation,Collegiate,26,Accepted,2023
4828,TokyoTech,Asia,Japan,Diagnostics,Collegiate,21,Accepted,2023
4786,Tongji-China,Asia,China,Diagnostics,Collegiate,12,Accepted,2023
4787,Tongji-Software,Asia,China,Software & AI,Collegiate,16,Accepted,2023
4615,Toronto,North America,Canada,Climate Crisis,Collegiate,36,Accepted,2023
4768,Toulouse-INSA-UPS,Europe,France,Therapeutics,Collegiate,15,Accepted,2023
4843,TSB-Center,Asia,China,High School,Commercial,4,Accepted,2023
4841,TSBC-SZ,Asia,China,High School,Commercial,3,Accepted,2023
4634,Tsinghua,Asia,China,Therapeutics,Collegiate,31,Accepted,2023
4771,Tsinghua-A,Asia,China,Software & AI,Collegiate,12,Accepted,2023
4772,Tsinghua-TFL,Asia,China,Agriculture,Collegiate,12,Accepted,2023
4871,Tsukuba,Asia,Japan,Environment,Collegiate,20,Accepted,2023
4654,TU-Braunschweig,Europe,Germany,Diagnostics,Collegiate,11,Accepted,2023
4750,TU-Dresden,Europe,Germany,Bioremediation,Collegiate,9,Accepted,2023
4905,TU-Eindhoven,Europe,Netherlands,Therapeutics,Collegiate,12,Accepted,2023
4834,Tuebingen,Europe,Germany,Therapeutics,Collegiate,15,Accepted,2023
4755,UAlberta,North America,Canada,Agriculture,Collegiate,24,Accepted,2023
4733,UBC-Okanagan,North America,Canada,Conservation,Collegiate,20,Accepted,2023
4796,UBC-Vancouver,North America,Canada,Foundational Advance,Collegiate,25,Accepted,2023
4619,UCAS-China,Asia,China,Foundational Advance,Collegiate,10,Accepted,2023
4710,UChicago,North America,United States,Biomanufacturing,Collegiate,9,Accepted,2023
4984,UConn,North America,United States,Bioremediation,Collegiate,10,Accepted,2023
4592,UCSC,North America,United States,Bioremediation,Collegiate,17,Accepted,2023
4773,UESTC-China,Asia,China,Bioremediation,Collegiate,22,Accepted,2023
4975,UFlorida,North America,United States,Biomanufacturing,Collegiate,3,Accepted,2023
4914,UGM-Indonesia,Asia,Indonesia,Diagnostics,Collegiate,23,Accepted,2023
4749,UI-Indonesia,Asia,Indonesia,Therapeutics,Collegiate,24,Accepted,2023
